>19,Private,<=100019,Some-college,<=10,Married-civ-spouse,Prof-specialty,Wife,White,Female,<=5260,<=546,<=5,United-States,<=50K
>19,Private,>100019,Assoc-voc,>10,Divorced,Prof-specialty,Unmarried,White,Female,<=5260,<=546,<=5,United-States,<=50K
>19,Private,>100019,Assoc-voc,>10,Widowed,Prof-specialty,Not-in-family,White,Female,<=5260,<=546,<=5,United-States,<=50K
>19,Private,>100019,Assoc-voc,>10,Widowed,Prof-specialty,Not-in-family,White,Female,<=5260,<=546,<=5,United-States,<=50K
>19,Private,>100019,Assoc-acdm,>10,Divorced,Prof-specialty,Unmarried,White,Female,<=5260,<=546,<=5,United-States,<=50K
>19,Private,>100019,Masters,>10,Married-civ-spouse,Prof-specialty,Wife,White,Female,<=5260,<=546,<=5,United-States,<=50K
>19,State-gov,>100019,Doctorate,>10,Married-civ-spouse,Prof-specialty,Husband,White,Male,<=5260,<=546,<=5,United-States,>50K
>19,Private,>100019,10th,<=10,Married-civ-spouse,Prof-specialty,Husband,White,Male,<=5260,<=546,<=5,United-States,<=50K
>19,Private,>100019,10th,<=10,Widowed,Prof-specialty,Other-relative,Asian-Pac-Islander,Female,<=5260,<=546,<=5,China,<=50K
>19,Private,>100019,10th,<=10,Divorced,Other-service,Not-in-family,White,Female,<=5260,<=546,<=5,United-States,<=50K
>19,Private,>100019,HS-grad,<=10,Never-married,Machine-op-inspct,Other-relative,White,Male,<=5260,<=546,<=5,United-States,<=50K
>19,Private,>100019,HS-grad,<=10,Never-married,Machine-op-inspct,Own-child,Black,Male,<=5260,<=546,<=5,United-States,<=50K
>19,Private,>100019,HS-grad,<=10,Widowed,Prof-specialty,Not-in-family,White,Female,<=5260,<=546,<=5,United-States,<=50K
>19,Self-emp-not-inc,<=100019,HS-grad,<=10,Married-civ-spouse,Exec-managerial,Husband,White,Male,<=5260,<=546,<=5,United-States,<=50K
>19,Private,<=100019,HS-grad,<=10,Never-married,Craft-repair,Own-child,Asian-Pac-Islander,Male,<=5260,<=546,<=5,Vietnam,<=50K
>19,Private,<=100019,HS-grad,<=10,Married-civ-spouse,Prof-specialty,Husband,White,Male,<=5260,<=546,<=5,United-States,>50K
>19,Private,<=100019,HS-grad,<=10,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,<=5260,<=546,<=5,United-States,<=50K
>19,Self-emp-inc,>100019,9th,<=10,Married-civ-spouse,Exec-managerial,Husband,White,Male,<=5260,<=546,<=5,United-States,<=50K
>19,Private,>100019,Some-college,<=10,Never-married,Prof-specialty,Not-in-family,White,Male,<=5260,<=546,<=5,United-States,<=50K
>19,Self-emp-not-inc,<=100019,Some-college,<=10,Widowed,Adm-clerical,Not-in-family,White,Female,<=5260,>546,<=5,United-States,<=50K
>19,Private,>100019,Preschool,<=10,Never-married,Machine-op-inspct,Not-in-family,White,Male,<=5260,<=546,>5,United-States,<=50K
>19,Private,>100019,Preschool,<=10,Widowed,Craft-repair,Unmarried,Black,Male,<=5260,<=546,>5,United-States,<=50K
>19,Private,>100019,Some-college,<=10,Never-married,Tech-support,Not-in-family,White,Female,<=5260,<=546,>5,United-States,<=50K
>19,Private,>100019,Some-college,<=10,Never-married,Tech-support,Not-in-family,White,Female,<=5260,<=546,>5,United-States,<=50K
>19,Private,>100019,Some-college,<=10,Never-married,Tech-support,Not-in-family,White,Female,<=5260,<=546,>5,Canada,<=50K
